name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
Croulebarde - Corvisart,48.830981659316855,2.3481646925210957,24,9,True,1,1970-01-01 00:00:01.697702151+00:00,True,1,1,34,13101,2023-10-19 08:13:58.538000+00:00,70.58823529411765
Ramponeau - Belleville,48.871031137596,2.379056852114,40,2,True,1,1970-01-01 00:00:01.697702222+00:00,True,1,1,44,20143,2023-10-19 08:13:58.355000+00:00,90.9090909090909
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,0,False,0,1970-01-01 00:00:01.697702228+00:00,False,1,1,21,14108,2023-10-19 08:13:58.497000+00:00,100.0
Romainville - Vaillant-Couturier,48.86785,2.446748,34,2,False,2,1970-01-01 00:00:01.697702226+00:00,False,1,1,38,31024,2023-10-19 08:13:57.802000+00:00,89.47368421052632
Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,2,13,False,5,1970-01-01 00:00:01.697702106+00:00,False,1,1,16,15068,2023-10-19 08:13:57.038000+00:00,12.5
Liberté - Vert-de-Maisons,48.790147809608,2.4328628182411,20,0,True,0,1970-01-01 00:00:01.694836503+00:00,True,0,0,20,47007,2023-10-19 08:13:58.484000+00:00,100.0
Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,26,13,False,1,1970-01-01 00:00:01.697701924+00:00,False,1,1,42,17044,2023-10-19 08:13:58.248000+00:00,61.904761904761905
Bir Hakeim,48.85384405433352,2.289705348222022,2,29,True,6,1970-01-01 00:00:01.697702163+00:00,True,1,1,33,15026,2023-10-19 08:13:58.207000+00:00,6.0606060606060606
Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,2,28,True,1,1970-01-01 00:00:01.697702200+00:00,True,1,1,30,44017,2023-10-19 08:13:56.746000+00:00,6.666666666666667
Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,39,3,False,1,1970-01-01 00:00:01.697702039+00:00,False,1,1,43,19033,2023-10-19 08:13:58.555000+00:00,90.69767441860465
